p,cand_old,wit_old,cand_bad,wit_bad,first_l_old,first_l_bad,witnesses_bad
577,52,28,74,45,3463,3463,3463 23081 31159 38083 43853 45007 50777 68087 95783 107323 117709 120017 148867 161561 169639 171947 182333 189257 213491 238879 252727 256189 261959 268883 276961 279269 287347 327737 334661 345047 346201 349663 360049 362357 366973 379667 401593 431597 438521 448907 455831 467371 476603 488143 495067
587,37,20,60,35,8219,8219,8219 10567 22307 31699 57527 66919 85703 91573 102139 137359 149099 170231 197233 257107 260629 272369 281761 286457 309937 311111 346331 355723 363941 380377 408553 436729 450817 455513 462557 480167 486037 490733 503647 504821 510691
593,48,29,70,41,1187,1187,1187 3559 24907 36767 42697 47441 61673 71161 74719 78277 86579 88951 100811 104369 107927 125717 138763 157739 181459 195691 213481 225341 232457 246689 263293 275153 285827 303617 327337 380707 428147 435263 441193 445937 448309 469657 487447 488633 494563 495749 512353
599,51,32,78,47,4793,4793,4793 11981 37139 46723 61099 62297 64693 71881 73079 97039 118603 134177 136573 140167 154543 155741 161731 204859 224027 230017 244393 252779 259967 265957 298303 301897 306689 310283 312679 337837 346223 353411 377371 378569 402529 421697 424093 425291 445657 456439 486389 497171 507953 513943 525923 529517 533111
601,59,35,81,50,25243,25243,25243 27647 31253 39667 42071 45677 52889 54091 60101 81737 82939 99767 106979 121403 126211 165877 168281 169483 179099 183907 187513 191119 201937 207947 225977 229583 237997 241603 251219 270451 301703 310117 331753 334157 353389 370217 385843 395459 414691 427913 445943 454357 463973 468781 479599 485609 490417 494023 496427 528881
607,50,30,70,41,20639,20639,20639 29137 32779 40063 54631 57059 75269 93479 101977 105619 115331 118973 126257 137183 145681 166319 182101 188171 203953 217307 218521 222163 224591 254941 275579 279221 309571 326567 331423 348419 375127 403049 433399 440683 464963 472247 497741 502597 528091 545087 549943
613,51,36,72,48,6131,6131,6131 14713 36781 39233 40459 55171 73561 77239 80917 95629 98081 105437 106663 125053 132409 165511 171641 190031 198613 202291 209647 212099 220681 234167 263591 294241 296693 304049 315083 327343 334699 345733 349411 351863 355541 362897 392321 414389 425423 429101 454847 485497 491627 500209 517373 521051 536989 557831
617,55,32,76,45,30851,30851,30851 41957 45659 51829 77743 78977 86381 103657 104891 119699 123401 138209 144379 156719 170293 175229 234461 240631 244333 251737 252971 275183 281353 292459 307267 308501 312203 319607 325777 347989 351691 373903 388711 412157 419561 422029 456581 497303 533089 534323 536791 541727 545429 555301 560237
619,45,26,67,38,17333,17333,17333 32189 43331 55711 66853 73043 89137 95327 100279 143609 144847 169607 180749 210461 221603 247601 248839 284741 285979 314453 329309 333023 334261 340451 352831 367687 401113 438253 448157 489011 490249 497677 500153 531103 544721 545959 559577 570719
631,58,40,80,56,6311,6311,6311 7573 22717 36599 37861 44171 45433 55529 75721 82031 85817 89603 94651 108533 119891 131249 132511 138821 159013 170371 174157 203183 222113 234733 237257 252401 256187 297833 301619 314239 325597 328121 331907 347051 367243 371029 373553 377339 378601 386173 430343 442963 479561 484609 487133 495967 502277 511111 522469 530041 547709 552757 559067 566639 579259 593141
